district,shop_rate,green_rate,share_rate,trans_rate,recycle_rate,budget_rate,total
부산광역시 강서구,0.0,0.0062282862177334185,0.016923718138319097,0.010617927835026462,1.732,0.3241304347826088,0.3483167278289479
부산광역시 금정구,0.031536154413878595,0.13104683061490843,0.06286422998651917,0.10246317471830714,1.7147661691542286,0.10804347826086964,0.35845333952478525
부산광역시 기장군,0.0026356380297851557,0.08442255338090938,0.027950691558288658,0.014190721256215044,1.4235144278606966,0.15434782608695657,0.28451030969547525
부산광역시 남구,0.08024280630040606,0.20196308840427346,0.1819680175479361,0.0024164702098203846,1.6837452736318406,0.1697826086956522,0.3866863774649882
부산광역시 동구,0.042516835681499596,0.20876118064083754,0.1500742782573626,0.02716436989590041,1.6406606965174126,0.23152173913043478,0.3834498500205747
부산광역시 동래구,0.13089472818556908,0.49741231009528064,0.23147952972169633,0.04358356085121319,1.6234268656716415,0.15434782608695657,0.44685747010205956
부산광역시 부산진구,0.14705255563539701,0.27779692467566014,0.03420191422266445,0.0015141430829060084,1.6441074626865668,0.046304347826087,0.35849622468821357
부산광역시 북구,0.03698545909376838,0.06253032869420576,0.10884807415488963,0.014378743528881311,1.6682348258706468,0.0,0.31516290522373197
부산광역시 사상구,0.00984175018577888,0.04761487978597455,0.0595364897733209,0.0023483211729051117,1.6940855721393036,0.092608695652174,0.3176726181182428
부산광역시 사하구,0.008174199644432967,0.31282183068137825,0.06748867814332865,0.17004761591431675,1.6975323383084577,0.12347826086956537,0.3965904872602466
부산광역시 서구,0.06111458531868007,0.5330428153890493,0.23172865527692418,0.011078902637838348,1.6027462686567164,0.4939130434782609,0.48893737845957824
부산광역시 수영구,0.8878328631858905,0.1398759576036526,0.35732928717656964,0.07536377540270095,1.7027024875621888,0.15434782608695657,0.5529086995029932
부산광역시 연제구,0.1258517378453625,0.17909786419667242,0.1827960716315194,0.08335524393796753,1.721659701492537,0.10804347826086964,0.40013401622748807
부산광역시 영도구,0.01317338291802694,0.4563830285626231,0.11737967334688489,0.3007615511821442,1.7130427860696518,0.0,0.4334567370132218
부산광역시 중구,0.5468946838332862,0.5755091864081356,1.328,0.17142170925372902,1.3942169154228854,0.2160869565217392,0.7053549085732959
부산광역시 해운대구,0.13534111233587193,0.139762249489766,0.17265569548405474,0.014240750752059784,1.5475980099502487,0.2160869565217392,0.3709474624222901
서울특별시 강남구,0.8284305955176126,0.17936365234114449,0.17193122147787362,0.48028709630504074,1.2666865671641792,0.8180434782608696,0.6241237685111201
서울특별시 강동구,0.2951534243060564,0.2924143846081822,0.2599656312670959,0.549956111991375,1.4131741293532338,0.4321739130434782,0.5404729324282369
서울특별시 강북구,0.17608862976371248,0.44568388902970596,0.2570210268910283,0.2726331694730383,0.8772019900497511,0.4939130434782609,0.42042362478091616
서울특별시 강서구,0.17416376467807415,0.21137624880955094,0.2319119136289659,0.3974569416350234,1.245144278606965,0.38586956521739135,0.4409871187626619
서울특별시 관악구,0.34253935198934554,0.14021222709642267,0.24173906426146266,0.2562509949803337,1.4924497512437809,0.2932608695652175,0.4610753765227606
서울특별시 광진구,0.5304146586386015,0.13259836878329312,0.3569079983321856,0.6417662337820494,1.5579383084577112,0.3241304347826088,0.5906260004627416
서울특별시 구로구,0.12981888518075194,0.24851692029715294,0.38631934878783475,0.5102763417782277,0.5773333333333333,0.3395652173913045,0.3653050077947675
서울특별시 금천구,0.42335311704670847,0.3728728358528874,0.23183219041160552,0.6160025327833518,0.8651383084577112,0.4167391304347826,0.4876563524978412
서울특별시 노원구,0.37927790223103713,0.8721388835874686,0.17460670025372288,0.5124273638644745,0.8013731343283581,0.26239130434782615,0.5003692147688145
서울특별시 도봉구,0.1478937005165315,0.8723526397426877,0.244300355606932,0.4633622535681138,1.3545791044776117,0.092608695652174,0.5291827915940085
서울특별시 동대문구,0.7151418602868755,0.13720524940184806,0.9103418734054182,0.5766593979704785,1.5027900497512436,0.47847826086956535,0.7201027819475715
서울특별시 동작구,0.48571471004220085,0.4683347235974908,0.4435532978610456,0.6230965400371047,0.32571940298507446,0.5556521739130434,0.4836784747393266
서울특별시 마포구,0.9459466139248457,0.316572284306003,0.2699709799968133,0.5247744879885418,0.7065870646766168,0.5865217391304349,0.5583955283372092
서울특별시 서대문구,0.8279095011528637,0.24443686596145744,0.2605066104935279,0.5634413308758366,1.3028776119402983,0.5402173913043479,0.6232315519547219
서울특별시 서초구,0.33740654566369976,0.13148716768117047,0.11038906053006074,0.463766221150185,1.2649631840796018,0.663695652173913,0.4952846385464385
서울특별시 성동구,0.5499486407149872,0.0617047756333118,0.20358847504350602,1.152795884152494,1.4528119402985074,0.30869565217391304,0.6215908946694532
서울특별시 성북구,0.5299192799221684,0.17614486470518212,0.3192520778004058,0.49787803745601755,1.5303641791044775,0.3395652173913045,0.5655206093965927
서울특별시 송파구,0.5147598551225224,0.368457908685513,0.29552322797458774,0.7139946958920416,1.5407044776119403,0.44760869565217404,0.6468414768231298
서울특별시 양천구,0.20140593742678256,0.21929372620612247,0.3277027746673503,0.7697185098971163,0.7944796019900496,0.2160869565217392,0.42144791778486007
서울특별시 영등포구,0.5124730602382546,0.027451707366719084,0.20252847942567412,0.6783256209108685,1.3511323383084577,0.5556521739130434,0.5545938966938362
서울특별시 용산구,0.8291734081255845,0.10976956317804101,0.1842308069325886,0.733586728764055,1.37353631840796,0.7717391304347825,0.6670059926405019
서울특별시 은평구,0.27372066663412314,0.3357961884523887,0.34564691321026836,0.3997578627475931,1.3011542288557214,0.5710869565217392,0.537860469403639
서울특별시 종로구,0.89708770973078,0.9067735245499585,0.27757414739207975,0.7061178895487413,0.7875860696517409,0.6945652173913043,0.7116174263774341
서울특별시 중구,1.467,0.2940412209852316,0.32892579544786493,0.860053035062341,1.1856875621890546,0.8180434782608696,0.8256251819908935
서울특별시 중랑구,0.285304935738704,0.4449454404332011,0.3402555895829744,0.7731248932023477,0.8375641791044777,0.30869565217391304,0.4983151150392697
제주특별자치도 서귀포시,0.003917430067150556,0.03291081123782294,0.000861151772888156,0.07515583295594173,1.4269611940298506,1.42,0.4933010700106089
제주특별자치도 제주시,0.016590090992470965,0.024192155509878133,0.004436319113167186,0.04496752177856783,1.2787502487562186,1.42,0.46482272269171715
